"native","family","physiognomy","synonymGC","commonName","nameDNR"
"N","Fabaceae","H","Astragalus flexuosus var. flexuosus","slender milk-vetch","Astragalus flexuosus var. flexuosus"
"N","Fabaceae","H","Astragalus adsurgens var. robustior","prairie milk-vetch","Astragalus laxmannii var. robustior"
"N","Fabaceae","H","Astragalus lotiflorus","lotus milk-vetch","Astragalus lotiflorus"
"N","Fabaceae","H","Astragalus missouriensis var. missouriensis","Missouri milk-vetch","Astragalus missouriensis var. missouriensis"
"N","Fabaceae","H","Astragalus tenellus","loose-flowered milk-vetch","Astragalus multiflorus"
"N","Fabaceae","H","Astragalus neglectus","Cooper's milk-vetch","Astragalus neglectus"
"N","Fabaceae","H","Astragalus racemosus var. racemosus","racemose milk-vetch","Astragalus racemosus var. racemosus"
"N","Dryopteridaceae","H","Athyrium filix-femina var. michauxii","northern lady fern","Athyrium filix-femina var. angustum"
"I","Chenopodiaceae","H","Atriplex patula","spearscale","Atriplex patula"
"N","Chenopodiaceae","H","Atriplex hastata","thinleaf orach","Atriplex prostrata"
"N","Scrophulariaceae","H","Aureolaria grandiflora, Aureolaria grandiflora var. pulchra","large-flowered false foxglove","Aureolaria grandiflora"
"N","Scrophulariaceae","H","Aureolaria pedicularia, Aureolaria pedicularia var. ambigens, Aureolaria pedicularia var. pedicularia","fernleaf false foxglove","Aureolaria pedicularia"
"I","Poaceae","G","Avena fatua","wild oats","Avena fatua"
"I","Poaceae","G","Avena sativa","cultivated oats","Avena sativa"
"N","unknown","G","Helictotrichon hookeri","spike oat","Avenula hookeri"
"I","unknown","H","Axyris amaranthoides","Russian pigweed","Axyris amaranthoides"
"N","Azollaceae","H","Azolla mexicana","Mexican mosquito fern","Azolla microphylla"
"N","Scrophulariaceae","H","Bacopa rotundifolia","waterhyssop","Bacopa rotundifolia"
"N","Fabaceae","H","Baptisia lactea var. lactea","white wild indigo","Baptisia lactea var. lactea"
"N","Fabaceae","H","Baptisia bracteata, Baptisia bracteata var. glabrescens","plains wild indigo","Baptisia leucophaea"
