Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym,doug,gran,pope,stev
N,H,Cerastium arvense,field chickweed,,Cerastium arvense,doug,"",pope,stev
N,H,Cerastium arvense subsp. strictum,field chickweed,,Cerastium arvense,doug,"",pope,stev
I,H,Cerastium fontanum subsp. vulgare,mouse-ear chickweed,,Cerastium vulgatum,"","",pope,""
N,"H,S",Ceratophyllum demersum,common coontail,,Ceratophyllum demersum,doug,gran,pope,stev
N,B,Chamaedaphne calyculata,leatherleaf,,Chamaedaphne calyculata,doug,"","",""
N,H,Chamaenerion angustifolium,fireweed,,Epilobium angustifolium,"","",pope,""
I,H,Chenopodium album,white lamb's quarters,,Chenopodium album s.s.,doug,gran,pope,""
N,H,Chenopodium glaucum,oak-leaved goosefoot,,Chenopodium glaucum,"",gran,pope,stev
N,H,Chenopodium rubrum,alkali blite,,Chenopodium rubrum,doug,"","",stev
N,H,Chenopodium simplex,maple-leaved goosefoot,,Chenopodium gigantospermum,doug,gran,pope,""
N,H,Chenopodium standleyanum,woodland goosefoot,,Chenopodium standleyanum,"",gran,"",""
N,H,Cicuta bulbifera,bulb-bearing water hemlock,,Cicuta bulbifera,doug,gran,pope,""
N,H,Cicuta maculata,spotted water hemlock,,Cicuta maculata,doug,gran,pope,stev
N,H,Cicuta maculata var. maculata,spotted water hemlock,,Cicuta maculata var. maculata,doug,gran,pope,stev
N,G,Cinna arundinacea,stout woodreed,,Cinna arundinacea,"","",pope,""
N,G,Cinna latifolia,drooping woodreed,,Cinna latifolia,doug,"","",""
N,H,Circaea alpina subsp. alpina,alpine enchanter's nightshade,,Circaea alpina var. alpina,doug,"","",""
N,H,Circaea canadensis subsp. canadensis,enchanter's nightshade,,,doug,gran,pope,""
N,H,Cirsium altissimum,tall thistle,,Cirsium altissimum,"",gran,pope,""
I,H,Cirsium arvense,Canada thistle,,"Cirsium arvense, Cirsium arvense var. arvense, Cirsium arvense var. horridum",doug,gran,pope,stev
N,H,Cirsium flodmanii,Flodman's thistle,,Cirsium flodmanii,doug,gran,pope,stev
N,H,Cirsium muticum,swamp thistle,,Cirsium muticum,doug,gran,pope,""
N,H,Cirsium pumilum var. hillii,Hill's thistle,,Cirsium hillii,doug,"",pope,""
I,H,Cirsium vulgare,bull thistle,,Cirsium vulgare,doug,gran,pope,""
N,C,Clematis virginiana,virgin's bower,,Clematis virginiana,doug,gran,pope,""
N,H,Coeloglossum viride var. virescens,long-bracted orchid,,Habenaria viridis var. bracteata,"","",pope,""
N,H,Collomia linearis,linear-leaved collomia,,Collomia linearis,doug,"","",""
N,H,Comandra umbellata subsp. umbellata,bastard toadflax,,Comandra umbellata var. umbellata,doug,gran,pope,stev
N,H,Comarum palustre,marsh cinquefoil,,Potentilla palustris,doug,"",pope,""
I,H,Convolvulus arvensis,field bindweed,,Convolvulus arvensis,"",gran,"",""
N,H,Conyza canadensis,horseweed,,Conyza canadensis,doug,gran,pope,""
N,H,Coptis trifolia,goldthread,,Coptis trifolia var. groenlandica,doug,"","",""
N,H,Corallorhiza maculata,spotted coralroot,,Corallorhiza maculata,"","",pope,""
N,H,Corallorhiza maculata var. occidentalis,western spotted coralroot,,Corallorhiza maculata var. occidentalis,"","",pope,""
N,H,Corallorhiza trifida,early coralroot,,Corallorhiza trifida,doug,"","",""
N,H,Coreopsis palmata,bird's foot coreopsis,,Coreopsis palmata,doug,gran,pope,stev
N,H,Corispermum americanum var. americanum,American bugseed,,Corispermum americanum,"","",pope,""
N,D,Cornus alternifolia,pagoda dogwood,,Cornus alternifolia,doug,"",pope,""
N,D,Cornus racemosa,gray dogwood,,Cornus racemosa,doug,gran,pope,""
N,D,Cornus rugosa,round-leaved dogwood,,Cornus rugosa,doug,"",pope,""
N,D,Cornus sericea,red-osier dogwood,,Cornus sericea,doug,gran,pope,stev
N,H,Corydalis aurea var. aurea,golden corydalis,,Corydalis aurea var. aurea,doug,"",pope,stev
N,D,Corylus americana,American hazelnut,,Corylus americana,doug,gran,pope,""
N,D,Corylus cornuta subsp. cornuta,beaked hazelnut,,Corylus cornuta,doug,"","",""
N,D,Crataegus chrysocarpa,fireberry hawthorn,,Crataegus chrysocarpa s.l.,doug,gran,pope,""
N,D,Crataegus macracantha,large-thorned hawthorn,,Crataegus succulenta s.l.,doug,"","",""
N,D,Crataegus punctata,dotted hawthorn,,Crataegus punctata,doug,"","",""
N,H,Crepis runcinata subsp. runcinata,incised hawk's beard,,Crepis runcinata subsp. runcinata,"","","",stev
I,H,Crepis tectorum,yellow hawk's beard,,Crepis tectorum,doug,"","",stev
N,H,Crocanthemum bicknellii,hoary frostweed,,Helianthemum bicknellii,doug,"",pope,""
N,H,Cryptotaenia canadensis,honewort,,Cryptotaenia canadensis,doug,gran,pope,""
N,H,Cuscuta glomerata,rope dodder,,Cuscuta glomerata,"","",pope,""
N,H,Cuscuta gronovii,scaldweed,,Cuscuta gronovii,"","",pope,""
N,H,Cuscuta pentagona,bur clover dodder,,Cuscuta pentagona s.l.,"","",pope,""
N,H,Cyclachaena xanthiifolia,marsh elder,,Iva xanthifolia,doug,"","",""
N,G,Cyperus bipartitus,brook nut sedge,,Cyperus bipartitus,doug,"",pope,""
N,G,Cyperus engelmannii,Engelmann's flatsedge,,Cyperus odoratus s.l.,"","",pope,stev
N,G,Cyperus odoratus,fragrant cyperus,,Cyperus odoratus s.l.,"","",pope,stev
N,H,Cypripedium acaule,stemless lady's slipper,,Cypripedium acaule,"",gran,pope,""
N,H,Cypripedium candidum,small white lady's slipper,,Cypripedium candidum,doug,gran,pope,stev
N,H,Cypripedium parviflorum,yellow lady's slipper,,Cypripedium calceolus,doug,"",pope,""
N,H,Cypripedium parviflorum var. makasin,lesser yellow lady's-slipper,,Cypripedium calceolus var. parviflorum,doug,"",pope,""
N,H,Cypripedium parviflorum var. pubescens,large yellow lady's-slipper,,Cypripedium calceolus var. pubescens,doug,"",pope,""
N,H,Cypripedium reginae,showy lady's slipper,,Cypripedium reginae,doug,"",pope,""
N,H,Cystopteris bulbifera,bulblet bladder fern,,Cystopteris bulbifera,"","",pope,""
N,H,Cystopteris fragilis,fragile bladder fern,,"Cystopteris fragilis s.l., Cystopteris fragilis var. mackayi s.l.","","",pope,""
N,H,Cystopteris tenuis,Macay's brittle fern,,"Cystopteris fragilis s.l., Cystopteris fragilis var. mackayi s.l.","","",pope,""
N,H,Dalea candida,white prairie clover,,Dalea candida,doug,gran,pope,stev
N,H,Dalea candida var. candida,white prairie clover,,Dalea candida var. candida,doug,gran,pope,stev
N,H,Dalea purpurea var. purpurea,purple prairie clover,,Dalea purpurea var. purpurea,doug,gran,pope,stev
N,G,Danthonia spicata,poverty oatgrass,,Danthonia spicata,doug,"","",""
N,D,Dasiphora fruticosa,shrubby cinquefoil,,Potentilla fruticosa,"","",pope,""
N,H,Delphinium carolinianum subsp. virescens,prairie larkspur,,Delphinium virescens,doug,"",pope,""
N,H,Descurainia incana,Richardson's tansy mustard,,Descurainia richardsonii,"","",pope,""
N,H,Descurainia pinnata subsp. brachycarpa,pinnate tansy mustard,,Descurainia pinnata var. brachycarpa,doug,"","",""
I,H,Descurainia sophia,herb sophia,,Descurainia sophia,"","",pope,stev
N,H,Desmanthus illinoensis,prairie mimosa,,Desmanthus illinoensis,"",gran,"",stev
N,H,Desmodium canadense,Canada tick trefoil,,Desmodium canadense,doug,gran,pope,""
N,H,Dicentra cucullaria,dutchman's breeches,,Dicentra cucullaria,doug,"",pope,stev
N,G,Dichanthelium acuminatum,hairy panic grass,,Panicum lanuginosum,doug,"","",""
