"genus_id","genus","family_id","family"
"715","Berteroa","18","Brassicaceae"
"716","Berula","9","Apiaceae"
"187","Besseya","11","Scrophulariaceae"
"47","Betula","19","Betulaceae"
"85","Bidens","5","Asteraceae"
"717","Bignonia","43","Bignoniaceae"
"86","Blephilia","12","Lamiaceae"
"1120","Boechera","18","Brassicaceae"
"75","Boehmeria","35","Urticaceae"
"116","Bolboschoenus","36","Cyperaceae"
"13","Boltonia","5","Asteraceae"
"718","Borago","60","Boraginaceae"
"719","Bothriochloa","14","Poaceae"
"152","Botrychium","37","Ophioglossaceae"
"1142","Botrypus","37","Ophioglossaceae"
"585","Bouteloua","14","Poaceae"
"586","Brachyelytrum","14","Poaceae"
"720","Brasenia","149","Cabombaceae"
"587","Brassica","18","Brassicaceae"
"458","Brickellia","5","Asteraceae"
"721","Briza","14","Poaceae"
"76","Bromus","14","Poaceae"
"722","Broussonetia","95","Moraceae"
"723","Brunnichia","116","Polygonaceae"
"1140","Buchloe","14","Poaceae"
"238","Buchnera","11","Scrophulariaceae"
"724","Buddleja","146","Buddlejaceae"
"725","Buglossoides","60","Boraginaceae"
"726","Bulbostylis","36","Cyperaceae"
"1121","Bumelia","170","Sapotaceae"
"727","Bupleurum","9","Apiaceae"
"728","Butomus","148","Butomaceae"
"729","Cabomba","149","Cabombaceae"
"87","Cacalia","5","Asteraceae"
"511","Cakile","18","Brassicaceae"
"344","Calamagrostis","14","Poaceae"
"345","Calamintha","12","Lamiaceae"
"117","Calamovilfa","14","Poaceae"
"95","Calla","27","Araceae"
"730","Callirhoe","2","Malvaceae"
"237","Callitriche","38","Callitrichaceae"
"196","Calopogon","23","Orchidaceae"
"346","Caltha","7","Ranunculaceae"
"731","Calycanthus","150","Calycanthaceae"
"732","Calycocarpum","96","Menispermaceae"
"118","Calylophus","39","Onagraceae"
"733","Calyptocarpus","5","Asteraceae"
"110","Calystegia","40","Convolvulaceae"
"347","Camassia","16","Liliaceae"
"734","Camelina","18","Brassicaceae"
"162","Campanula","41","Campanulaceae"
"735","Campanulastrum","41","Campanulaceae"
"736","Campsis","43","Bignoniaceae"
"737","Canavalia","21","Fabaceae"
"738","Cannabis","151","Cannabaceae"
"739","Capsella","18","Brassicaceae"
"740","Caragana","21","Fabaceae"
"80","Cardamine","18","Brassicaceae"
"741","Cardaria","18","Brassicaceae"
"742","Cardiospermum","169","Sapindaceae"
"447","Carduus","5","Asteraceae"
"43","Carex","36","Cyperaceae"
"113","Carpinus","19","Betulaceae"
"743","Carthamus","5","Asteraceae"
"476","Carum","9","Apiaceae"
"70","Carya","42","Juglandaceae"
"33","Cassia","21","Fabaceae"
"744","Castanea","73","Fagaceae"
"572","Castilleja","11","Scrophulariaceae"
"502","Catalpa","43","Bignoniaceae"
"501","Caulophyllum","34","Berberidaceae"
"150","Ceanothus","44","Rhamnaceae"
"151","Celastrus","44","Rhamnaceae"
"745","Celosia","20","Amaranthaceae"
"99","Celtis","46","Ulmaceae"
"489","Cenchrus","14","Poaceae"
"111","Centaurea","5","Asteraceae"
"522","Centaurium","33","Gentianaceae"
"746","Centrosema","21","Fabaceae"
"100","Cephalanthus","47","Rubiaceae"
"292","Cerastium","26","Caryophyllaceae"
"747","Ceratocephala","7","Ranunculaceae"
"31","Ceratodon","180","Ditrichaceae"
"421","Ceratophyllum","48","Ceratophyllaceae"
"101","Cercis","21","Fabaceae"
"748","Chaenomeles","13","Rosaceae"
"749","Chaenorhinum","11","Scrophulariaceae"
"750","Chaerophyllum","9","Apiaceae"
"751","Chaiturus","12","Lamiaceae"
"372","Chamaecrista","21","Fabaceae"
"497","Chamaedaphne","22","Ericaceae"
"644","Chamaelirium","16","Liliaceae"
"752","Chamaemelum","5","Asteraceae"
"88","Chamaesyce","3","Euphorbiaceae"
"753","Chamerion","39","Onagraceae"
"114","Chara","183","Characeae"
"754","Chasmanthium","14","Poaceae"
"755","Cheilanthes","8","Pteridaceae"
"756","Chelidonium","127","Papaveraceae"
"608","Chelone","11","Scrophulariaceae"
"523","Chenopodium","49","Chenopodiaceae"
"422","Chimaphila","50","Pyrolaceae"
"757","Chionodoxa","16","Liliaceae"
"758","Chloris","14","Poaceae"
"759","Chorispora","18","Brassicaceae"
"505","Chrysanthemum","5","Asteraceae"
"760","Chrysosplenium","80","Saxifragaceae"
"524","Cichorium","5","Asteraceae"
"89","Cicuta","9","Apiaceae"
"202","Cimicifuga","7","Ranunculaceae"
"131","Cinna","14","Poaceae"
"90","Circaea","39","Onagraceae"
"10","Cirsium","5","Asteraceae"
"761","Citrullus","68","Cucurbitaceae"
"121","Cladium","36","Cyperaceae"
"642","Cladrastis","21","Fabaceae"
"132","Claytonia","51","Portulacaceae"
"255","Clematis","7","Ranunculaceae"
"762","Cleome","114","Capparaceae"
"622","Clinopodium","12","Lamiaceae"
"627","Clintonia","16","Liliaceae"
"763","Clitoria","21","Fabaceae"
"764","Cnicus","5","Asteraceae"
"765","Cocculus","96","Menispermaceae"
"1122","Coeloglossum","23","Orchidaceae"
"630","Coleataenia","14","Poaceae"
"569","Collinsia","11","Scrophulariaceae"
"766","Collinsonia","12","Lamiaceae"
"767","Collomia","109","Polemoniaceae"
"123","Comandra","52","Santalaceae"
"124","Comarum","13","Rosaceae"
"115","Commelina","53","Commelinaceae"
"498","Comptonia","54","Myricaceae"
"768","Conioselinum","9","Apiaceae"
"525","Conium","9","Apiaceae"
"133","Conobea","11","Scrophulariaceae"
"769","Conoclinium","5","Asteraceae"
"201","Conopholis","55","Orobanchaceae"
"770","Conringia","18","Brassicaceae"
"771","Consolida","7","Ranunculaceae"
"526","Convallaria","16","Liliaceae"
"226","Convolvulus","40","Convolvulaceae"
"527","Conyza","5","Asteraceae"
"575","Coptis","7","Ranunculaceae"
"125","Corallorhiza","23","Orchidaceae"
"91","Coreopsis","5","Asteraceae"
"772","Coriandrum","9","Apiaceae"
"366","Corispermum","49","Chenopodiaceae"
"16","Cornus","56","Cornaceae"
"357","Coronilla","21","Fabaceae"
"773","Coronopus","18","Brassicaceae"
"571","Corydalis","57","Fumariaceae"
"360","Corylus","19","Betulaceae"
"92","Cosmos","5","Asteraceae"
"774","Cotinus","124","Anacardiaceae"
"277","Cotoneaster","13","Rosaceae"
"46","Crataegus","13","Rosaceae"
"775","Crepis","5","Asteraceae"
"93","Crocanthemum","78","Cistaceae"
"377","Crocus","58","Iridaceae"
"776","Crotalaria","21","Fabaceae"
"94","Croton","3","Euphorbiaceae"
"1134","Crotonopsis","3","Euphorbiaceae"
"777","Cruciata","47","Rubiaceae"
"778","Crypsis","14","Poaceae"
"779","Cryptogramma","8","Pteridaceae"
"134","Cryptotaenia","9","Apiaceae"
"780","Cucumis","68","Cucurbitaceae"
"781","Cucurbita","68","Cucurbitaceae"
"782","Cunila","12","Lamiaceae"
"783","Cuphea","61","Lythraceae"
"59","Cuscuta","59","Cuscutaceae"
"784","Cyclachaena","5","Asteraceae"
"529","Cycloloma","49","Chenopodiaceae"
"785","Cyclospermum","9","Apiaceae"
"786","Cydonia","13","Rosaceae"
"787","Cymbalaria","11","Scrophulariaceae"
"788","Cynanchum","29","Asclepiadaceae"
"789","Cynodon","14","Poaceae"
"530","Cynoglossum","60","Boraginaceae"
"650","Cynosciadium","9","Apiaceae"
"135","Cyperus","36","Cyperaceae"
"8","Cypripedium","23","Orchidaceae"
"314","Cystopteris","32","Dryopteridaceae"
"490","Dactylis","14","Poaceae"
"790","Dactyloctenium","14","Poaceae"
"791","Dactylorhiza","23","Orchidaceae"
"158","Dalea","21","Fabaceae"
"315","Danthonia","14","Poaceae"
"167","Dasiphora","13","Rosaceae"
"792","Dasistoma","11","Scrophulariaceae"
"793","Datura","110","Solanaceae"
"355","Daucus","9","Apiaceae"
"193","Decodon","61","Lythraceae"
